Required	[{:family=>"Watson", :given=>"J.D."}, {:family=>"Crick", :given=>"F.C.H."}]	["Molecular Structure of Nucleic Acids: A Structure for Deoxyribose Nucleic Acid"]	article-journal	["Nature"]	["1953-04-25"]
Required	[{:family=>"Wang", :given=>"A.H.J."}, {:others=>true}]	["Molecular Structure of a Left-Handed Double Helical DNA Fragment at Atomic Resolution"]	article-journal	["Nature"]	["1979-12-13"]
Required	[{:family=>"West", :given=>"M.W."}, {:others=>true}]	["De novo Amyloid Proteins from Designed Combinatorial Libraries"]	article-journal	["PNAS"]	["1999-09"]
Required	[{:family=>"Scheibel", :given=>"T."}, {:others=>true}]	["Bidirectional Amyloid Fiber Growth for a Yeast Prion Determinant"]	article-journal	["Current Biology"]	["2001-03-06"]
Required	[{:family=>"Nowak", :given=>"A.P."}, {:others=>true}]	["Rapidly Recovering Hydrogel Scaffolds from Self-assembling Diblock Copolypeptide Amphiphiles"]	article-journal	["Nature"]	["2002-05-23"]
Required	[{:family=>"Kisiday", :given=>"J."}, {:others=>true}]	["Self-assembling Peptide Hydrogel Fosters Chondrocyte Extracellular Matrix Production and Cell Division: Implications for Cartilage Tissue Repair"]	article-journal	["PNAS"]	["2002-07-23"]
Required	[{:family=>"Wei", :given=>"Y."}, {:others=>true}]	["Stably Folded De Novo Proteins from a Designed Combinatorial Library"]	article-journal	["Protein Science"]	["2003"]
Required	[{:family=>"Hamad-Schifferli", :given=>"K."}, {:others=>true}]	["Remote Electronic Control of DNA Hybridization through Inductive Coupling to an Attached Metal Nanocrystal Antenna"]	article-journal	["Nature"]	["2002-01-10"]
Required	[{:family=>"Alivisados", :given=>"A.P."}, {:others=>true}]	["Organization of ‘Nanocrystal Molecules’ Using DNA"]	article-journal	["Nature"]	["1996-08-15"]
Required	[{:family=>"Braun", :given=>"E."}, {:others=>true}]	["DNA-templated Assembly and Electrode Attachment of a Conducting Silver Wire"]	article-journal	["Nature"]	["1998-02-19"]
Required	[{:family=>"Yurke", :given=>"B."}, {:others=>true}]	["A DNA-fuelled Molecular Machine Made of DNA"]	article-journal	["Nature"]	["2000-08-10"]
Required	[{:family=>"Mao", :given=>"C."}]	["A Nanomechanical Device Based on the B-Z Transition of DNA"]	article-journal	["Nature"]	["1999-01-14"]
Required	[{:family=>"Winfree", :given=>"E."}, {:others=>true}]	["Design and Self-Assembly of Two-dimensional DNA Crystals"]	article-journal	["Nature"]	["1998-08-06"]
Required	[{:family=>"Whaley", :given=>"S.R."}, {:others=>true}]	["Selection of Peptides with Semiconductor Binding Specificity for Directed Nanocrystal Assembly"]	article-journal	["Nature"]	["2000-06-08"]
Required	[{:family=>"Chen", :given=>"J."}, {:family=>"Seeman", :given=>"N.C."}]	["Synthesis from DNA of a Molecule with the Connectivity of a Cube"]	article-journal	["Nature"]	["1991-04-18"]
Required	[{:family=>"Yang", :given=>"F."}, {:others=>true}]	["The Molecular Structure of Green Fluorescent Protein"]	article-journal	["Nature Biotechnology"]	["1996-10"]
Required	[{:family=>"Peelle", :given=>"B."}, {:others=>true}]	["Intracellular Protein Scaffold-mediated Display of Random Peptide Libraries for Phenotypic Screens in Mammalian Cells"]	article-journal	["Chemistry and Biology"]	["2001"]
Required	[{:family=>"Matz", :given=>"M.V."}, {:others=>true}]	["Fluorescent Proteins from Nonbioluminescent Anthozoa Species"]	article-journal	["Nature Biotechnology"]	["1999-10"]
Required	[{:family=>"Crameri", :given=>"A."}, {:others=>true}]	["Improved Green Fluorescent Protein by Molecular Evolution Using DNA Shuffling"]	article-journal	["Nature Biotechnology"]	["1996-03"]
Required	[{:family=>"Zhang", :given=>"S."}]	["Fabrication of Novel Biomaterials through Molecular Self-Assembly"]	article-journal	["Nature: Biotechnology"]	["2003-10"]
Required	[{:family=>"Zhang", :given=>"S."}]	["Emerging Biological Materials Through Molecular Self-Assembly"]	article-journal	["Biotechnology Advances"]	["2002"]
Required	[{:family=>"Zhang", :given=>"S."}, {:others=>true}]	["Spontaneous Assembly of a Self-Complementary Oligopeptide to Form a Stable Macroscopic Membrane"]	article-journal	["PNAS"]	["1993-04"]
Required	[{:family=>"Santoso", :given=>"S."}, {:others=>true}]	["Self-assembly of Surfactant-like Peptides with Variable Glycine Tails to Form Nanotubes and Nanovesicles"]	article-journal	["Nano Letters"]	["2002"]
Required	[{:family=>"Marini", :given=>"D.M."}, {:others=>true}]	["Left-Handed Helical Ribbon Intermediates in the Self-Assembly of a Beta-Sheet Peptide"]	article-journal	["Nano Letters"]	["2002"]
Required	[{:family=>"Vauthey", :given=>"S."}, {:others=>true}]	["Molecular Self-Assembly of Surfactant-Like Peptides to Form Nanotubes and Nanovesicles"]	article-journal	["PNAS"]	["2002-04-16"]
Required	[{:family=>"Holmes", :given=>"T.C."}, {:others=>true}]	["Extensive Neurite Outgrowth and Active Synapse Formation on Self-Assembling Peptide Scaffolds"]	article-journal	["PNAS"]	["2000-06-06"]
Required	[{:family=>"Aggeli", :given=>"A."}, {:others=>true}]	["Responsive Gels Formed by the Spontaneous Self-Assembly of Peptides into Polymeric Beta-sheet Tapes"]	article-journal	["Nature"]	["1997-03-20"]
Required	[{:family=>"Hartgerink", :given=>"Jeffrey D."}]	["Peptide-amphiphile Nanofibers: A Versatile Scaffold for the Preparation of Self-assembling Materials"]	article-journal	["PNAS"]	["2002-04-16"]
